,Source,Side,Indiv_Counts,Group_Counts,Indiv_to_Group_Ratio,Year
1,AJE,Palestine,172,1320,0.13,2014
0,AJE,Israel,16,147,0.11,2014
3,BBC,Palestine,80,1062,0.08,2014
2,BBC,Israel,54,302,0.18,2014
5,CNN,Palestine,172,1343,0.13,2014
4,CNN,Israel,56,343,0.16,2014
7,NYT,Palestine,212,1460,0.15,2014
6,NYT,Israel,99,432,0.23,2014
