,Article_ID,Date,wordCount,Source
652,69C3-3FT1-JBSS-S06F-00000-00,10 October 2023,811,CNN Wire
653,69GY-75X1-JBSS-S3TJ-00000-00,28 October 2023,1083,CNN Wire
654,6BR5-CP41-JBG3-6069-00000-00,05 April 2024,615,The New York Times
655,69RB-CW71-DY7V-G001-00000-00,27 November 2023,1844,CNN Wire
656,69RJ-HJS1-JBSS-S009-00000-00,28 November 2023,1908,CNN Wire
657,69SN-GKD1-DY7V-G005-00000-00,03 December 2023,1505,CNN Wire
658,69DG-JRM1-DXY4-X01X-00000-00,16 October 2023,1465,The New York Times
659,6CRM-FDN1-DY7V-G21M-00000-00,17 August 2024,602,CNN Wire
660,Batch 01 - BBC  - 823,14 January 2024,903,BBC
661,69C4-6KC1-JBG3-61N9-00000-00,10 October 2023,644,The New York Times
662,69BY-13N1-DY7V-G021-00000-00,09 October 2023,897,CNN Wire
